Section Number,Section Name,Callout,Part Number,Description,Price,Status,Diagram File,Spec URL
1,CONTROL_PANEL,1,WB07T10769,"Double Wall oven Control panel with glass touch STAINLESS 30"" models",418.39,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB07T10769
1,CONTROL_PANEL,7,WB07T10740,"Wall oven Control mounting bracket 30"" models",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB07T10740
1,CONTROL_PANEL,13,WB18T10506,"JUMPER",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB18T10506
1,CONTROL_PANEL,16,WB27X20240,"CONTROL BOARD T012 ELE",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB27X20240
1,CONTROL_PANEL,19,WB27T11453,"Range- connector used for NewFI or sum module hook-up",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB27T11453
1,CONTROL_PANEL,21,WB27T11116,"FILTER CLOCK DISPLAY",12.48,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB27T11116
1,CONTROL_PANEL,32,WB26T10066,"Wall oven- upper cooling fan motor",110.74,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB26T10066
1,CONTROL_PANEL,133,WB03T10341,"Wall oven Grommet- screw mounted to frame",6.09,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB03T10341
1,CONTROL_PANEL,255,WB17K10001,"BLOCK TERMINAL",7.98,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB17K10001
1,CONTROL_PANEL,266,WB07T10805,"Wall oven Upper trim BLACK",35.28,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB07T10805
1,CONTROL_PANEL,270,WB27T11326,"BOARD DAUGHTER RELAY 6",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB27T11326
1,CONTROL_PANEL,400,WB34T10164,"Wall oven- control cover/right side/ all models",30.55,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB34T10164
1,CONTROL_PANEL,402,WB44T10126,"Wall oven- control cover/left side/ all models",20.79,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB44T10126
1,CONTROL_PANEL,404,WB34T10150,"Wall oven Upper oven vent cover",6.73,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB34T10150
1,CONTROL_PANEL,410,WB37T10026,"Wall oven Cooling fan motor mount bracket",28.77,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB37T10026
1,CONTROL_PANEL,416,WB34T10165,"Wall oven- control cover/top/ all models",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB34T10165
1,CONTROL_PANEL,418,WB34T10157,"Wall oven- rear top cover/all",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB34T10157
1,CONTROL_PANEL,426,WB35T10273,"Wall oven Top cover - rear terminal- 30""",27.72,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB35T10273
1,CONTROL_PANEL,578,WB24T10147,"Range High Amp Switch",14.76,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB24T10147
1,CONTROL_PANEL,599,WB27T11463,"Wall oven- upper cooling fan motor sensor board/single or double oven",59.10,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB27T11463
1,CONTROL_PANEL,600,WB18T10573,"Double Wall oven Harness- conduit from house supply to unit- double",83.44,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB18T10573
1,CONTROL_PANEL,600,WB18T10580,"Double Wall oven Optional 72"" harness conduit- double",264.96,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB18T10580
1,CONTROL_PANEL,605,WB18T10596,"Cooking Products Main Wire Harness",173.79,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB18T10596
1,CONTROL_PANEL,607,WB18X20178,"HARNESS WIRE LATCH COM",50.99,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB18X20178
1,CONTROL_PANEL,770,WB01K5072,"SCREW TF10-32X.911HEXZN",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB01K5072
1,CONTROL_PANEL,801,WD02X10129,"Dishwasher 6-19 X 1/4 TORX PAN HEAD Screw",6.07,Available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WD02X10129
1,CONTROL_PANEL,813,WB01X1261,"SCREW GROUND",N/A,No longer available,01_CONTROL_PANEL.jpg,https://www.geapplianceparts.com/store/parts/spec/WB01X1261
