Assembly ID,Assembly Name,Callout,Part Number,Description,Price,Status,Diagram File
40662,"CASE PARTS",105A,5251JA3003K,"TUBE ASSEMBLY,DRAIN",29.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",120A,ADJ75472302,"DUCT ASSEMBLY,MULTI",205.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",128E,AEJ74940602,"HOLDER ASSEMBLY",77.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",128F,MEG64760002,"HOLDER,RAIL",48.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",145A,MBL68417401,"CAP,DUCT",29.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",150D,MCR66849210,"DECOR,COVER",48.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",158F,ABQ76660201,"CASE ASSEMBLY,LAMP",77.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",280A,ABQ75822439,"CASE ASSEMBLY,DISPLAY",261.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",281B,AEH75256503,"HINGE ASSEMBLY,UPPER",59.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",281D,AEH75256504,"HINGE ASSEMBLY,UPPER",59.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",282B,AEH75957701,"HINGE ASSEMBLY,CENTER",59.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",301A,ADL76521401,"EVAPORATOR ASSEMBLY",240.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",304A,ACQ90351401,"COVER ASSEMBLY,MACHINERY(REAR)",48.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",305B,4580JJ3001A,"REFRIGERATOR ROLLER",32.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",305C,1PZZJA3013B,"REFRIGERATOR ROLLER WHEEL AXLE PIN",13.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",307A,TCA37032028,"COMPRESSOR,SET ASSEMBLY",403.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",314A,4620JA3015A,"REFRIGERATOR COMPRESSOR MOUNT RETAINER CLIP",13.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",318A,MEG64900401,"Drier holder",21.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",319A,MJS65111701,"TRAY,DRIP",49.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",319B,AJP76194501,"TRAY ASSEMBLY,DRAIN",48.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",319C,MEA65930101,"GUIDE,FAN",261.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",319G,MCK66690601,"Refrigerator Motor Cover",29.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",323B,ACG76304502,"CONDENSER ASSEMBLY,WIRE",163.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",329C,ADP73273401,"FAN ASSEMBLY",42.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",332C,AEB73564909,"GRILLE ASSEMBLY,FAN",281.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",401A,ACM75678706,"CONTROLLER ASSEMBLY",49.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",405C,5040JA2009B,"REFRIGERATOR MOTOR SUPPORT DAMPER",13.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",405F,5040JA2004B,"REFRIGERATOR MOTOR SUPPORT DAMPER",13.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",411A,EAD61445253,"POWER CORD ASSEMBLY",117.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",412D,EAD64168633,"HARNESS ASSEMBLY",42.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",418A,MEE64065001,"HEATER,SHEATH",107.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",419B,MGE39575301,"Pipe,compres",21.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",419B,MGE62010602,"PIPE,COMPRESSOR SEALING",185.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",420A,EAU63103301,"MOTOR,DC",107.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",501A,EBR81182789,"PCB ASSEMBLY,MAIN",300.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",607A,AEJ73579702,"Refrigerator holder assembly",13.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",611E,ADQ73693405,"FILTER ASSEMBLY,WATER",126.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",611F,ADQ36772702,"Refrigerator Water Filter Cover",64.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",903E,6500JB2002X,"Refrigerator Temperature Sensor",32.95,Available,01_CASE_PARTS.jpg
40662,"CASE PARTS",315A,AAN77268901,"BASE ASSEMBLY,COMPRESSOR",107.95,Available,01_CASE_PARTS.jpg
40665,"DOOR PARTS",200A,ADC52734156,"DOOR ASSEMBLY,FREEZER",460.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",203A,ADX75550601,"GASKET ASSEMBLY,DOOR",64.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",230A,ADC74207271,"DOOR ASSEMBLY,REFRIGERATOR",281.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",233A,ADX75550605,"GASKET ASSEMBLY,DOOR",42.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",243A,MJB63010703,"STOPPER,DOOR",59.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",244A,AED37082916,"REFRIGERATOR DOOR HANDLE ASSEMBLY",104.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",250A,4270JJ3001K,"BAR",49.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",286A,4984JJ3003A,"REFRIGERATOR DOOR HINGE BUSHING",13.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",621C,MCD61841107,"CONNECTOR,RAIL",88.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",621G,MCK67227902,"COVER,DOOR SWITCH",21.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",B04,FAB30025701,"Laundry appliance screw",13.95,Available,02_DOOR_PARTS.jpg
40665,"DOOR PARTS",212G,MFT62346511,"Refrigerator Nameplate",48.95,Available,02_DOOR_PARTS.jpg
100069,"FREEZER PARTS",131A,MJS62312001,"Refrigerator Freezer Drawer Bin",107.95,Available,03_FREEZER_PARTS.jpg
100069,"FREEZER PARTS",136B,AJP73574518,"TRAY ASSEMBLY,DRAWER",261.95,Available,03_FREEZER_PARTS.jpg
100069,"FREEZER PARTS",136C,AJP75234914,"TRAY ASSEMBLY,DRAWER",454.95,Available,03_FREEZER_PARTS.jpg
100069,"FREEZER PARTS",237A,MEA62651201,"GUIDE,DRAWER",78.95,Available,03_FREEZER_PARTS.jpg
100069,"FREEZER PARTS",136D,MJS63852101,"TRAY,DRAWER",98.95,Available,03_FREEZER_PARTS.jpg
100070,"ICE MAKER PARTS",619A,AJU72911118,"VALVE ASSEMBLY,WATER",107.95,Available,04_ICE_MAKER_PARTS.jpg
100070,"ICE MAKER PARTS",623B,MBL67039201,"CAP,COVER",13.95,Available,04_ICE_MAKER_PARTS.jpg
100070,"ICE MAKER PARTS",625A,MCK69290701,"COVER,TUBE",13.95,Available,04_ICE_MAKER_PARTS.jpg
100070,"ICE MAKER PARTS",627A,4770JA3001E,"Refrigerator water tubing holder",13.95,Available,04_ICE_MAKER_PARTS.jpg
40664,"REFRIGERATOR PARTS",128A,AEC74897812,"GUIDE ASSEMBLY,RAIL",49.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",141A,MHL62812405,"SHELF,REFRIGERATOR",98.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",145D,AJP75235113,"TRAY ASSEMBLY,FRESH ROOM",131.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",145J,ACQ90063007,"COVER ASSEMBLY,TRAY",42.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",146E,ACQ89579411,"COVER ASSEMBLY,TRAY",126.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",151A,AJP75235022,"TRAY ASSEMBLY,VEGETABLE",261.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",151B,AJP75235023,"TRAY ASSEMBLY,VEGETABLE",261.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",167B,ACQ89579309,"COVER ASSEMBLY,TV",240.95,Available,05_REFRIGERATOR_PARTS.jpg
40664,"REFRIGERATOR PARTS",128B,AEC74897814,"GUIDE ASSEMBLY,RAIL",59.95,Available,05_REFRIGERATOR_PARTS.jpg
