Section Name,Callout,Part Number,AP Part Number,Title,Price,Status,Diagram File
"Control Panel Parts",E1,F603L8P00AP,AP7087591,"Electronic Pc Board",N/A,Inquire,01_Control_Panel_Parts.gif
"Control Panel Parts",E3,F800L8P00SAP,AP7087596,"Escutcheon",N/A,Inquire,01_Control_Panel_Parts.gif
"Control Panel Parts",E4,F66167D00AP,AP7059014,"Cable",4.95,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E5,F82988P00SAP,AP7087603,"Microwave Control Panel Button",21.46,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E6,F891P6G00SAP,AP7043181,"Countertop Microwave Control Panel Button",13.95,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E7,F82565W00AP,AP7063378,"Lever",8.56,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E8,F80375K00AP,AP7063375,"Spring",8.56,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E9,F80098P00AP,AP7087593,"Cover",6.85,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E10,F90095X00AP,AP7063381,"Panel",4.95,In Stock,01_Control_Panel_Parts.gif
"Control Panel Parts",E11,F83928P00KAP,AP7087604,"Button",10.27,In Stock,01_Control_Panel_Parts.gif
"Door Assy Parts",D1,TJF30186P40AG,AP5648244,"Key",N/A,Inquire,02_Door_Assy_Parts.gif
"Door Assy Parts",W2,F030E6G30AP,AP7043154,"Wire",9.97,In Stock,02_Door_Assy_Parts.gif
"Door Assy Parts",D2,F301A8P00SAP,AP7087581,"Door",N/A,Inquire,02_Door_Assy_Parts.gif
"Door Assy Parts",W3,F03537B70AP,AP7059004,"Wire",25.30,In Stock,02_Door_Assy_Parts.gif
"Door Assy Parts",D4,F30216P40AG,AP7079299,"Spring",6.86,In Stock,02_Door_Assy_Parts.gif
"Door Assy Parts",D6,F31454U00AP,AP7046878,"Screen",N/A,Inquire,02_Door_Assy_Parts.gif
"Exploded View Parts",1,F00064W70AP,AP7046877,"Label",4.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",3,F00338F00AP,AP7043210,"Label",4.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",4,F10016P40AP,AP7059006,"Base",28.24,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",6,F110D5W10SAP,AP7056767,"Cabinet",N/A,Inquire,03_Exploded_View_Parts.gif
"Exploded View Parts",7,F200A8D00AP,AP7043214,"Cavity",N/A,Inquire,03_Exploded_View_Parts.gif
"Exploded View Parts",9,F21315Y00AP,AP7063341,"Shaft",10.71,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",10,F80,AP7047773,"Countertop Microwave Washer",5.52,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",15,F31374650AP,AP4573527,"Door Lever",N/A,Inquire,03_Exploded_View_Parts.gif
"Exploded View Parts",16,F31384650AP,AP4573528,"Door Lever",N/A,Inquire,03_Exploded_View_Parts.gif
"Exploded View Parts",17,F400A8F00AP,AP7058730,"Motor",38.11,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",18,F40084T00AP,AP7054680,"Blade",7.48,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",19,F40254W00AP,AP7044926,"Microwave Air Guide",16.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",20,F40264T60APG,AP7059011,"Microwave Door Guide",6.86,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",21,F41445W00AP,AP7063353,"Orifice",20.53,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",22,F64508660AP,AP7063369,"Guide",6.86,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",24,F65434W00AP,AP7047779,"Cover",5.57,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",25,A607S4M00AP,AP4572322,"Steam Sensor",N/A,Inquire,03_Exploded_View_Parts.gif
"Exploded View Parts",29,F61456N60AP,AP7043172,"Microwave Protector",10.71,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",33,F65856K50AP,AP7043173,"Bracket",17.80,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",34,M32KLP,AP7065712,"Microwave Magnetron",128.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",37,F692Y8F00APX,AP7058735,"Countertop Microwave High Voltage Transformer",50.57,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",40,F66626G10AP,AP7043174,"Plate",5.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",42,F90804W00AP,AP7063382,"Microwave Mounting Clip",5.68,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",46,F02445Y00AP,AP7043153,"Label",N/A,Inquire,03_Exploded_View_Parts.gif
"Exploded View Parts",48,F82575W00AP,AP7063380,"Bracket",5.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",50,F00067C50AP,AP7065720,"Label",4.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",NI,G4C3AAD00006,AP7087607,"Transformer",20.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",NI,C0ABBA000230,AP7063544,"Ic",1.95,In Stock,03_Exploded_View_Parts.gif
"Exploded View Parts",NI,F00065G40AP,AP7063319,"Label",1.95,In Stock,03_Exploded_View_Parts.gif
